date,pnl
2013-07-16,1275.00
2013-07-17,510.00
2013-07-18,255.00
2013-07-19,510.00
2013-07-22,765.00
2013-07-23,510.00
2013-07-24,1785.00
2013-07-25,-1275.00
2013-07-26,2550.00
2013-07-29,1275.00
2013-07-30,-1530.00
2013-07-31,-1530.00
2013-08-01,-255.00
2013-08-02,2040.00
2013-08-05,1530.00
2013-08-06,2295.00
2013-08-07,1275.00
2013-08-08,-255.00
2013-08-09,-2295.00
2013-08-12,1020.00
2013-08-13,765.00
2013-08-14,3315.00
2013-08-15,4335.00
2013-08-16,4080.00
2013-08-19,2295.00
2013-08-20,255.00
2013-08-21,1530.00
2013-08-22,-510.00
2013-08-23,2805.00
2013-08-26,-2550.00
2013-08-27,5100.00
