date,pnl
2013-02-12,-560.00
2013-02-13,-0.00
2013-02-14,280.00
2013-02-15,280.00
2013-02-19,840.00
2013-02-20,-560.00
2013-02-21,1120.00
2013-02-22,280.00
2013-02-25,-3360.00
2013-02-26,-0.00
2013-02-27,4760.00
2013-02-28,-560.00
2013-03-01,-1680.00
2013-03-04,3920.00
2013-03-05,-1680.00
2013-03-06,1120.00
2013-03-07,-1120.00
2013-03-08,-2380.00
2013-03-11,1120.00
2013-03-12,840.00
2013-03-13,-1400.00
2013-03-14,-3500.00
2013-03-15,-140.00
2013-03-18,2380.00
2013-03-19,-280.00
2013-03-20,-1260.00
2013-03-21,1960.00
2013-03-22,-980.00
2013-03-25,980.00
2013-03-26,-1680.00
2013-03-27,-140.00
2013-03-28,-980.00
2013-04-01,9380.00
2013-04-02,3220.00
