date,pnl
2019-03-11,-1330.00
2019-03-12,-380.00
2019-03-13,380.00
2019-03-14,2090.00
2019-03-15,-760.00
2019-03-18,-1710.00
2019-03-19,2280.00
2019-03-20,2280.00
2019-03-21,-3040.00
2019-03-22,6080.00
2019-03-25,190.00
2019-03-26,760.00
2019-03-27,190.00
2019-03-28,-380.00
2019-03-29,-760.00
2019-04-01,-2280.00
2019-04-02,950.00
2019-04-03,-1900.00
2019-04-04,-1140.00
2019-04-05,-5035.00
2019-04-08,1045.00
2019-04-09,4750.00
2019-04-10,-5415.00
2019-04-11,855.00
2019-04-12,-2565.00
2019-04-15,3040.00
2019-04-16,-1900.00
2019-04-17,6175.00
2019-04-18,2755.00
2019-04-22,3800.00
2019-04-23,-14155.00
2019-04-24,-3135.00
2019-04-25,5605.00
2019-04-26,-7220.00
2019-04-29,-3515.00
2019-04-30,4275.00
2019-05-01,3135.00
2019-05-02,1615.00
2019-05-03,-12635.00
2019-05-06,-190.00
