date,pnl
2012-07-12,-2150.00
2012-07-13,1290.00
2012-07-16,430.00
2012-07-17,1290.00
2012-07-18,1290.00
2012-07-19,-0.00
2012-07-20,430.00
2012-07-23,-1290.00
2012-07-24,0.00
2012-07-25,430.00
2012-07-26,4730.00
2012-07-27,-860.00
2012-07-30,1290.00
2012-07-31,-860.00
2012-08-01,2150.00
2012-08-02,2150.00
2012-08-03,430.00
2012-08-06,1720.00
2012-08-07,-1720.00
2012-08-08,1290.00
2012-08-09,-860.00
2012-08-10,2150.00
2012-08-13,1720.00
2012-08-14,430.00
2012-08-15,-860.00
2012-08-16,-6235.00
2012-08-17,-2795.00
2012-08-20,1505.00
2012-08-21,1290.00
2012-08-22,1505.00
2012-08-23,4730.00
