date,pnl
2016-07-11,1600.00
2016-07-12,480.00
2016-07-13,1120.00
2016-07-14,-480.00
2016-07-15,640.00
2016-07-18,320.00
2016-07-19,320.00
2016-07-20,160.00
2016-07-21,-480.00
2016-07-22,160.00
2016-07-25,0.00
2016-07-26,0.00
2016-07-27,480.00
2016-07-28,160.00
2016-07-29,320.00
2016-08-01,480.00
2016-08-02,960.00
2016-08-03,-160.00
2016-08-04,160.00
2016-08-05,-1360.00
2016-08-08,240.00
2016-08-09,400.00
2016-08-10,880.00
2016-08-11,-1280.00
2016-08-12,1200.00
2016-08-15,-2720.00
2016-08-16,2000.00
2016-08-17,1040.00
2016-08-18,-1440.00
2016-08-19,-560.00
2016-08-22,-160.00
2016-08-23,-1680.00
2016-08-24,2720.00
2016-08-25,-480.00
2016-08-26,320.00
2016-08-29,-1600.00
2016-08-30,-960.00
2016-08-31,640.00
2016-09-01,2240.00
2016-09-02,-4720.00
2016-09-06,-1200.00
