date,pnl
2018-06-11,2480.00
2018-06-12,-775.00
2018-06-13,155.00
2018-06-14,465.00
2018-06-15,-465.00
2018-06-18,-775.00
2018-06-19,-1240.00
2018-06-20,-775.00
2018-06-21,-2480.00
2018-06-22,465.00
2018-06-25,-2790.00
2018-06-26,2635.00
2018-06-27,-3255.00
2018-06-28,-775.00
2018-06-29,2015.00
2018-07-02,1705.00
2018-07-03,930.00
2018-07-05,1860.00
2018-07-06,1860.00
2018-07-09,155.00
2018-07-10,310.00
2018-07-11,775.00
2018-07-12,775.00
2018-07-13,1705.00
2018-07-16,2635.00
2018-07-17,-0.00
2018-07-18,310.00
2018-07-19,-2480.00
2018-07-20,542.50
2018-07-23,852.50
2018-07-24,3565.00
