date,pnl
2019-11-11,750.00
2019-11-12,150.00
2019-11-13,-150.00
2019-11-14,300.00
2019-11-15,1500.00
2019-11-18,1200.00
2019-11-19,150.00
2019-11-20,-450.00
2019-11-21,150.00
2019-11-22,1200.00
2019-11-25,-1050.00
2019-11-26,900.00
2019-11-27,-1200.00
2019-11-29,750.00
2019-12-02,150.00
2019-12-03,-2100.00
2019-12-04,150.00
2019-12-05,1350.00
2019-12-06,-300.00
2019-12-09,-600.00
2019-12-10,450.00
2019-12-11,300.00
2019-12-12,-1350.00
2019-12-13,2850.00
2019-12-16,-2625.00
2019-12-17,-1650.00
2019-12-18,-2175.00
2019-12-19,-675.00
2019-12-20,-1200.00
2019-12-23,-450.00
2019-12-24,-975.00
2019-12-26,225.00
2019-12-27,2475.00
2019-12-30,600.00
2019-12-31,-1425.00
2020-01-02,2100.00
2020-01-03,600.00
2020-01-06,-1200.00
