date,pnl
2010-02-09,235.00
2010-02-10,-235.00
2010-02-11,2820.00
2010-02-12,470.00
2010-02-16,1175.00
2010-02-17,-705.00
2010-02-18,-705.00
2010-02-19,235.00
2010-02-22,-235.00
2010-02-23,1175.00
2010-02-24,-940.00
2010-02-25,587.50
2010-02-26,235.00
2010-03-01,-2115.00
2010-03-02,-470.00
2010-03-03,-117.50
2010-03-04,-822.50
2010-03-05,-1527.50
2010-03-08,822.50
2010-03-09,-1057.50
2010-03-10,117.50
2010-03-11,-117.50
2010-03-12,-940.00
2010-03-15,-470.00
2010-03-16,-352.50
2010-03-17,-0.00
2010-03-18,-587.50
2010-03-19,1410.00
2010-03-22,-1762.50
2010-03-23,-705.00
2010-03-24,1057.50
2010-03-25,-117.50
2010-03-26,235.00
2010-03-29,-1057.50
2010-03-30,0.00
2010-03-31,352.50
2010-04-01,-470.00
2010-04-05,-235.00
