date,pnl
2010-10-12,1075.00
2010-10-13,-215.00
2010-10-14,2150.00
2010-10-15,-1935.00
2010-10-18,1290.00
2010-10-19,430.00
2010-10-20,1075.00
2010-10-21,215.00
2010-10-22,2365.00
2010-10-25,-215.00
2010-10-26,0.00
2010-10-27,-0.00
2010-10-28,215.00
2010-10-29,-215.00
2010-11-01,1290.00
2010-11-02,-215.00
2010-11-03,1935.00
2010-11-04,-2580.00
2010-11-05,1182.50
2010-11-08,-1397.50
2010-11-09,3655.00
2010-11-10,-3010.00
2010-11-11,752.50
2010-11-12,1505.00
2010-11-15,752.50
2010-11-16,4945.00
2010-11-17,1075.00
2010-11-18,-4192.50
2010-11-19,107.50
2010-11-22,-1720.00
2010-11-23,4945.00
2010-11-24,-9030.00
2010-11-26,2902.50
2010-11-29,-215.00
2010-11-30,3870.00
2010-12-01,-9460.00
2010-12-02,-4192.50
2010-12-03,-3977.50
2010-12-06,-3655.00
