date,pnl
2016-02-08,-1550.00
2016-02-09,-1395.00
2016-02-10,155.00
2016-02-11,-620.00
2016-02-12,2325.00
2016-02-16,3720.00
2016-02-17,1550.00
2016-02-18,1240.00
2016-02-19,2170.00
2016-02-22,2015.00
2016-02-23,-0.00
2016-02-24,-465.00
2016-02-25,310.00
2016-02-26,-930.00
2016-02-29,-310.00
2016-03-01,-1007.50
2016-03-02,-2015.00
2016-03-03,-1550.00
2016-03-04,-852.50
2016-03-07,-775.00
2016-03-08,3100.00
2016-03-09,-155.00
2016-03-10,1240.00
2016-03-11,-2945.00
2016-03-14,-1007.50
2016-03-15,3952.50
2016-03-16,-2557.50
2016-03-17,-3642.50
2016-03-18,-1085.00
2016-03-21,77.50
2016-03-22,-232.50
2016-03-23,3797.50
2016-03-24,-465.00
2016-03-28,-1472.50
2016-03-29,-3797.50
2016-03-30,-542.50
2016-03-31,-155.00
2016-04-01,-387.50
2016-04-04,77.50
