date,pnl
2015-03-09,780.00
2015-03-10,-0.00
2015-03-11,0.00
2015-03-12,-2340.00
2015-03-13,780.00
2015-03-16,585.00
2015-03-17,-780.00
2015-03-18,-975.00
2015-03-19,-585.00
2015-03-20,-2535.00
2015-03-23,1755.00
2015-03-24,-195.00
2015-03-25,5850.00
2015-03-26,975.00
2015-03-27,-0.00
2015-03-30,-5460.00
2015-03-31,1755.00
2015-04-01,1365.00
2015-04-02,-2730.00
2015-04-06,877.50
2015-04-07,1657.50
2015-04-08,-2145.00
2015-04-09,780.00
2015-04-10,-1755.00
2015-04-13,-487.50
2015-04-14,-292.50
2015-04-15,-3802.50
2015-04-16,1950.00
2015-04-17,9750.00
2015-04-20,-5460.00
2015-04-21,-97.50
2015-04-22,-487.50
2015-04-23,-3802.50
2015-04-24,2145.00
2015-04-27,8970.00
2015-04-28,-4875.00
2015-04-29,8775.00
2015-04-30,23790.00
2015-05-01,-3607.50
2015-05-04,-7410.00
