date,pnl
2020-04-14,300.00
2020-04-15,100.00
2020-04-16,-1200.00
2020-04-17,-800.00
2020-04-20,-1100.00
2020-04-21,2900.00
2020-04-22,5100.00
2020-04-23,-1700.00
2020-04-24,1300.00
2020-04-27,-900.00
2020-04-28,0.00
2020-04-29,-1700.00
2020-04-30,2200.00
2020-05-01,500.00
2020-05-04,2600.00
2020-05-05,1300.00
2020-05-06,-400.00
2020-05-07,0.00
2020-05-08,-3100.00
2020-05-11,2400.00
2020-05-12,2500.00
2020-05-13,2300.00
2020-05-14,1300.00
2020-05-15,-2100.00
2020-05-18,-4600.00
2020-05-19,1600.00
2020-05-20,-2000.00
2020-05-21,750.00
2020-05-22,250.00
2020-05-26,-6950.00
2020-05-27,-5700.00
2020-05-28,4750.00
2020-05-29,2200.00
2020-06-01,-4350.00
2020-06-02,-850.00
2020-06-03,-6150.00
2020-06-04,450.00
2020-06-05,-4400.00
2020-06-08,-1000.00
