date,pnl
2020-11-09,-4560.00
2020-11-10,-1520.00
2020-11-11,665.00
2020-11-12,950.00
2020-11-13,-3230.00
2020-11-16,-1710.00
2020-11-17,-570.00
2020-11-18,1045.00
2020-11-19,-475.00
2020-11-20,-190.00
2020-11-23,-1710.00
2020-11-24,-1520.00
2020-11-25,665.00
2020-11-27,-285.00
2020-11-30,2755.00
2020-12-01,-570.00
2020-12-02,-570.00
2020-12-03,-285.00
2020-12-04,-3040.00
2020-12-07,-475.00
2020-12-08,-1140.00
2020-12-09,617.50
2020-12-10,-1140.00
2020-12-11,237.50
2020-12-14,332.50
2020-12-15,-2470.00
2020-12-16,285.00
2020-12-17,-760.00
2020-12-18,427.50
2020-12-21,-285.00
2020-12-22,-617.50
2020-12-23,-855.00
2020-12-24,1900.00
2020-12-28,-2660.00
2020-12-29,665.00
2020-12-30,-427.50
2020-12-31,95.00
2021-01-04,1045.00
