date,pnl
2015-01-12,-450.00
2015-01-13,-1200.00
2015-01-14,-1200.00
2015-01-15,-450.00
2015-01-16,3000.00
2015-01-20,1500.00
2015-01-21,1350.00
2015-01-22,4350.00
2015-01-23,600.00
2015-01-26,-750.00
2015-01-27,-300.00
2015-01-28,-300.00
2015-01-29,-1500.00
2015-01-30,-750.00
2015-02-02,1500.00
2015-02-03,2400.00
2015-02-04,-450.00
2015-02-05,-750.00
2015-02-06,-150.00
2015-02-09,2700.00
2015-02-10,1200.00
2015-02-11,600.00
2015-02-12,-300.00
2015-02-13,300.00
2015-02-17,1800.00
2015-02-18,-1350.00
2015-02-19,-450.00
2015-02-20,-225.00
2015-02-23,825.00
2015-02-24,-1500.00
2015-02-25,-900.00
2015-02-26,-1950.00
2015-02-27,2175.00
2015-03-02,-3525.00
2015-03-03,3150.00
2015-03-04,2400.00
2015-03-05,-2400.00
2015-03-06,13800.00
2015-03-09,-6300.00
