date,pnl
2013-12-17,1980.00
2013-12-18,4180.00
2013-12-19,-1100.00
2013-12-20,0.00
2013-12-23,-660.00
2013-12-24,-3080.00
2013-12-26,3080.00
2013-12-27,220.00
2013-12-30,-2200.00
2013-12-31,220.00
2014-01-02,2860.00
2014-01-03,-1100.00
2014-01-06,2200.00
2014-01-07,-1320.00
2014-01-08,660.00
2014-01-09,-660.00
2014-01-10,-1870.00
2014-01-13,6050.00
2014-01-14,-5720.00
2014-01-15,-1980.00
2014-01-16,-880.00
2014-01-17,2090.00
2014-01-21,-2420.00
2014-01-22,-1650.00
2014-01-23,2200.00
2014-01-24,9240.00
2014-01-27,4840.00
2014-01-28,2420.00
2014-01-29,5940.00
2014-01-30,-9900.00
2014-01-31,1540.00
2014-02-03,7920.00
2014-02-04,6380.00
2014-02-05,-3300.00
2014-02-06,10120.00
2014-02-07,2860.00
2014-02-10,5060.00
