date,pnl
2018-02-12,7260.00
2018-02-13,880.00
2018-02-14,-1100.00
2018-02-15,-3960.00
2018-02-16,-990.00
2018-02-20,2200.00
2018-02-21,-1100.00
2018-02-22,1320.00
2018-02-23,-2090.00
2018-02-26,-1760.00
2018-02-27,3080.00
2018-02-28,2420.00
2018-03-01,2970.00
2018-03-02,-4730.00
2018-03-05,-2640.00
2018-03-06,-2200.00
2018-03-07,-1870.00
2018-03-08,990.00
2018-03-09,-3795.00
2018-03-12,-440.00
2018-03-13,990.00
2018-03-14,1485.00
2018-03-15,1100.00
2018-03-16,-2915.00
2018-03-19,3080.00
2018-03-20,-440.00
2018-03-21,-2035.00
2018-03-22,7150.00
2018-03-23,7480.00
2018-03-26,-4345.00
2018-03-27,9515.00
2018-03-28,1210.00
2018-03-29,-5280.00
2018-04-02,16390.00
2018-04-03,-7480.00
2018-04-04,-9185.00
2018-04-05,-7810.00
2018-04-06,16115.00
2018-04-09,-3630.00
