date,pnl
2018-10-15,2720.00
2018-10-16,-2880.00
2018-10-17,640.00
2018-10-18,2400.00
2018-10-19,800.00
2018-10-22,960.00
2018-10-23,320.00
2018-10-24,-4000.00
2018-10-25,1760.00
2018-10-26,-7360.00
2018-10-29,-5760.00
2018-10-30,9760.00
2018-10-31,3200.00
2018-11-01,1440.00
2018-11-02,-320.00
2018-11-05,1280.00
2018-11-06,1280.00
2018-11-07,0.00
2018-11-08,1120.00
2018-11-09,2720.00
2018-11-12,3200.00
2018-11-13,800.00
2018-11-14,160.00
2018-11-15,1760.00
2018-11-16,3200.00
2018-11-19,2400.00
2018-11-20,-8800.00
2018-11-21,8960.00
2018-11-23,1600.00
2018-11-26,6240.00
2018-11-27,640.00
2018-11-28,-160.00
2018-11-29,3840.00
2018-11-30,-2400.00
2018-12-03,5600.00
2018-12-04,-6240.00
2018-12-06,-6720.00
2018-12-07,-20960.00
