date,pnl
2007-05-15,235.00
2007-05-16,705.00
2007-05-17,-470.00
2007-05-18,2350.00
2007-05-21,940.00
2007-05-22,235.00
2007-05-23,470.00
2007-05-24,470.00
2007-05-25,705.00
2007-05-29,-0.00
2007-05-30,0.00
2007-05-31,-1175.00
2007-06-01,-117.50
2007-06-04,-352.50
2007-06-05,2350.00
2007-06-06,-0.00
2007-06-07,-235.00
2007-06-08,2350.00
2007-06-11,1410.00
2007-06-12,-235.00
2007-06-13,1175.00
2007-06-14,235.00
2007-06-15,-3055.00
2007-06-18,470.00
2007-06-19,705.00
2007-06-20,5405.00
2007-06-21,-1880.00
2007-06-22,1057.50
2007-06-25,2350.00
2007-06-26,587.50
2007-06-27,-1527.50
2007-06-28,-822.50
2007-06-29,1645.00
2007-07-02,-2585.00
2007-07-03,-1527.50
2007-07-05,-235.00
2007-07-06,-3172.50
2007-07-09,-1175.00
