date,pnl
2009-06-16,630.00
2009-06-17,-0.00
2009-06-18,1890.00
2009-06-19,1680.00
2009-06-22,-2310.00
2009-06-23,420.00
2009-06-24,2100.00
2009-06-25,5460.00
2009-06-26,2310.00
2009-06-29,1680.00
2009-06-30,420.00
2009-07-01,-630.00
2009-07-02,-210.00
2009-07-06,-210.00
2009-07-07,-1260.00
2009-07-08,-3150.00
2009-07-09,3360.00
2009-07-10,1260.00
2009-07-13,9660.00
2009-07-14,1890.00
2009-07-15,-630.00
2009-07-16,-1785.00
2009-07-17,2625.00
2009-07-20,-945.00
2009-07-21,1680.00
2009-07-22,-420.00
2009-07-23,-11235.00
2009-07-24,-105.00
2009-07-27,-1785.00
2009-07-28,-1365.00
2009-07-29,1890.00
2009-07-30,-6825.00
2009-07-31,-1890.00
2009-08-03,-3990.00
2009-08-04,-4200.00
2009-08-05,1365.00
2009-08-06,4095.00
2009-08-07,-10080.00
2009-08-10,-630.00
