date,pnl
2012-08-14,-2700.00
2012-08-15,2700.00
2012-08-16,675.00
2012-08-17,675.00
2012-08-20,1125.00
2012-08-21,225.00
2012-08-22,0.00
2012-08-23,-1125.00
2012-08-24,-225.00
2012-08-27,675.00
2012-08-28,225.00
2012-08-29,-1575.00
2012-08-30,450.00
2012-08-31,1125.00
2012-09-04,-675.00
2012-09-05,1350.00
2012-09-06,0.00
2012-09-07,-112.50
2012-09-10,675.00
2012-09-11,-112.50
2012-09-12,-1125.00
2012-09-13,-1800.00
2012-09-14,-1350.00
2012-09-17,1350.00
2012-09-18,787.50
2012-09-19,-787.50
2012-09-20,900.00
2012-09-21,-3037.50
2012-09-24,1462.50
2012-09-25,5175.00
2012-09-26,3037.50
2012-09-27,-5287.50
2012-09-28,2137.50
2012-10-01,450.00
2012-10-02,-2137.50
2012-10-03,1237.50
2012-10-04,-3825.00
2012-10-05,-225.00
2012-10-08,562.50
