date,pnl
2010-08-10,-1005.00
2010-08-11,3015.00
2010-08-12,-4355.00
2010-08-13,4355.00
2010-08-16,1005.00
2010-08-17,3685.00
2010-08-18,0.00
2010-08-19,-2010.00
2010-08-20,1005.00
2010-08-23,-4020.00
2010-08-24,-3015.00
2010-08-25,4690.00
2010-08-26,335.00
2010-08-27,7370.00
2010-08-30,-4690.00
2010-08-31,-1675.00
2010-09-01,12060.00
2010-09-02,3015.00
2010-09-03,6365.00
2010-09-07,-1340.00
2010-09-08,2680.00
2010-09-09,2010.00
2010-09-10,3350.00
2010-09-13,-1675.00
2010-09-14,2010.00
2010-09-15,-1005.00
2010-09-16,2680.00
2010-09-17,-1005.00
2010-09-20,-12227.50
2010-09-21,2847.50
2010-09-22,11055.00
2010-09-23,6365.00
2010-09-24,-17252.50
2010-09-27,2680.00
2010-09-28,-3852.50
2010-09-29,1340.00
2010-09-30,-837.50
2010-10-01,-3015.00
2010-10-04,19430.00
