date,pnl
2021-02-08,-3990.00
2021-02-09,-418.60
2021-02-10,-71.40
2021-02-11,910.00
2021-02-12,-350.00
2021-02-16,350.00
2021-02-17,2380.00
2021-02-18,1680.00
2021-02-19,-2800.00
2021-02-22,1398.60
2021-02-23,841.40
2021-02-24,-1750.00
2021-02-25,-2030.00
2021-02-26,910.00
2021-03-01,560.00
2021-03-02,350.00
2021-03-03,1330.00
2021-03-04,700.00
2021-03-05,3010.00
2021-03-08,-840.00
2021-03-09,-2240.00
2021-03-10,-770.00
2021-03-11,-3430.00
2021-03-12,-910.00
2021-03-15,490.00
2021-03-16,5320.00
2021-03-17,-560.00
2021-03-18,9030.00
2021-03-19,-1750.00
2021-03-22,7770.00
2021-03-23,6440.00
2021-03-24,70.00
2021-03-25,2520.00
2021-03-26,-2240.00
2021-03-29,3500.00
2021-03-30,6090.00
2021-03-31,-4270.00
2021-04-01,3990.00
2021-04-05,-840.00
