date,pnl
2014-04-15,205.00
2014-04-16,2870.00
2014-04-17,-1845.00
2014-04-21,2050.00
2014-04-22,-820.00
2014-04-23,0.00
2014-04-24,410.00
2014-04-25,2050.00
2014-04-28,1640.00
2014-04-29,410.00
2014-04-30,2665.00
2014-05-01,-615.00
2014-05-02,820.00
2014-05-05,1640.00
2014-05-06,3075.00
2014-05-07,1845.00
2014-05-08,1435.00
2014-05-09,2255.00
2014-05-12,-4817.50
2014-05-13,5227.50
2014-05-14,6765.00
2014-05-15,2050.00
2014-05-16,1025.00
2014-05-19,-2050.00
2014-05-20,3690.00
2014-05-21,820.00
2014-05-22,-1742.50
2014-05-23,-2870.00
2014-05-27,-9020.00
