date,pnl
2016-08-15,800.00
2016-08-16,-640.00
2016-08-17,640.00
2016-08-18,1120.00
2016-08-19,480.00
2016-08-22,480.00
2016-08-23,-800.00
2016-08-24,-640.00
2016-08-25,-640.00
2016-08-26,800.00
2016-08-29,1120.00
2016-08-30,-0.00
2016-08-31,640.00
2016-09-01,-960.00
2016-09-02,480.00
2016-09-06,480.00
2016-09-07,800.00
2016-09-08,-320.00
2016-09-09,480.00
2016-09-12,2080.00
2016-09-13,-3040.00
2016-09-14,640.00
2016-09-15,2720.00
2016-09-16,1600.00
2016-09-19,160.00
2016-09-20,-480.00
2016-09-21,1120.00
2016-09-22,-2240.00
